stage	event	scene	document	buffer	a	b	c
Native Target Presentation Latency	47	0	0	0	47847500	0	0
Native Terminal Record Latency	47	0	0	0	36611208	0	0
State Mutation Complete	47	0	0	0	1	0	2
Text Summary	47	3	0	0	2	0	0
Visible Layout Begin	47	3	0	0	0	0	0
Visible Layout Complete	47	3	0	0	4	0	0
Event Dispatch Begin	48	0	0	0	8	2	0
State Mutation Complete	48	0	0	0	0	0	2
Event Dispatch Begin	49	0	0	0	2	2	0
State Mutation Complete	49	0	0	0	0	0	2
Event Dispatch Begin	50	0	0	0	8	2	0
State Mutation Complete	50	0	0	0	0	0	2
Event Dispatch Begin	51	0	0	0	1	2	0
State Mutation Complete	51	0	0	0	0	0	2
Event Dispatch Begin	52	0	0	0	8	2	0
State Mutation Complete	52	0	0	0	0	0	2
Atlas Publication Begin	53	4	0	0	78	0	0
Atlas Publication Complete	53	4	0	0	0	0	0
Event Dispatch Begin	53	0	0	0	1	2	0
Frame Build Begin	53	4	0	0	1148190720	1141309440	0
Frame Build Complete	53	4	0	0	84	78	0
Glyph Atlas Summary	53	4	0	0	87	0	70400
Layout Cache Summary	53	4	0	0	4	0	1952
State Mutation Complete	53	0	0	0	1	0	3
Text Summary	53	4	0	0	2	0	0
Visible Layout Begin	53	4	0	0	0	0	0
Visible Layout Complete	53	4	0	0	4	0	0
Event Dispatch Begin	54	0	0	0	8	3	0
State Mutation Complete	54	0	0	0	0	0	3
Event Dispatch Begin	55	0	0	0	1	3	0
State Mutation Complete	55	0	0	0	0	0	3
Event Dispatch Begin	56	0	0	0	8	3	0
State Mutation Complete	56	0	0	0	0	0	3
Event Dispatch Begin	57	0	0	0	1	3	0
State Mutation Complete	57	0	0	0	0	0	3
Event Dispatch Begin	58	0	0	0	8	3	0
State Mutation Complete	58	0	0	0	0	0	3
Event Dispatch Begin	59	0	0	0	1	3	0
State Mutation Complete	59	0	0	0	0	0	3
Event Dispatch Begin	60	0	0	0	8	3	0
State Mutation Complete	60	0	0	0	0	0	3
Atlas Publication Begin	61	5	1	1	78	0	0
Atlas Publication Complete	61	5	1	1	0	0	0
Event Dispatch Begin	61	0	0	0	1	3	0
Frame Build Begin	61	5	1	1	1148190720	1141309440	0
Frame Build Complete	61	5	1	1	84	78	0
Glyph Atlas Summary	61	5	1	1	87	0	70400
Layout Cache Summary	61	5	1	1	4	1	2368
State Mutation Complete	61	0	1	1	1	1	4
Text Summary	61	5	1	1	3	0	1
Visible Layout Begin	61	5	1	1	0	0	0
Visible Layout Complete	61	5	1	1	5	0	0
Event Dispatch Begin	62	0	1	1	8	4	0
State Mutation Complete	62	0	1	1	0	0	4
Event Dispatch Begin	63	0	1	1	1	4	0
State Mutation Complete	63	0	1	1	0	0	4
Event Dispatch Begin	64	0	1	1	8	4	0
State Mutation Complete	64	0	1	1	0	0	4
Event Dispatch Begin	65	0	1	1	1	4	0
State Mutation Complete	65	0	1	1	0	0	4
Event Dispatch Begin	66	0	1	1	8	4	0
State Mutation Complete	66	0	1	1	0	0	4
Event Dispatch Begin	67	0	1	1	1	4	0
State Mutation Complete	67	0	1	1	0	0	4
Event Dispatch Begin	68	0	1	1	8	4	0
State Mutation Complete	68	0	1	1	0	0	4
Event Dispatch Begin	69	0	1	1	1	4	0
State Mutation Complete	69	0	1	1	0	0	4
Event Dispatch Begin	70	0	1	1	8	4	0
State Mutation Complete	70	0	1	1	0	0	4
Atlas Publication Begin	71	6	2	2	79	0	0
Atlas Publication Complete	71	6	2	2	0	0	0
Event Dispatch Begin	71	0	1	1	5	4	0
Frame Build Begin	71	6	2	2	1148190720	1141309440	0
Frame Build Complete	71	6	2	2	85	79	0
Glyph Atlas Summary	71	6	2	2	88	0	70400
Layout Cache Summary	71	6	2	2	4	1	2816
Native Display Link Target Latency	71	0	0	0	25029542	0	0
Native Event Handler Latency	71	0	0	0	35917	0	0
Native Frame Queue Latency	71	0	0	0	16707792	0	0
Native GPU Terminal Observed Latency	71	0	0	0	25396708	0	0
Native Presented Handler Latency	71	0	0	0	76970500	0	0
Native Submission Latency	71	0	0	0	63750	0	0
Native Target Presentation Latency	71	0	0	0	58362792	0	0
Native Terminal Record Latency	71	0	0	0	33425875	0	0
State Mutation Complete	71	0	2	2	1	1	5
Text Summary	71	6	2	2	3	0	1
Visible Layout Begin	71	6	2	2	0	0	0
Visible Layout Complete	71	6	2	2	5	0	0
Event Dispatch Begin	72	0	2	2	8	5	0
State Mutation Complete	72	0	2	2	0	0	5
Event Dispatch Begin	73	0	2	2	1	5	0
State Mutation Complete	73	0	2	2	0	0	5
Event Dispatch Begin	74	0	2	2	8	5	0
State Mutation Complete	74	0	2	2	0	0	5
Event Dispatch Begin	75	0	2	2	1	5	0
State Mutation Complete	75	0	2	2	0	0	5
Event Dispatch Begin	76	0	2	2	8	5	0
State Mutation Complete	76	0	2	2	0	0	5
Event Dispatch Begin	77	0	2	2	1	5	0
State Mutation Complete	77	0	2	2	0	0	5
Event Dispatch Begin	78	0	2	2	8	5	0
State Mutation Complete	78	0	2	2	0	0	5
Event Dispatch Begin	79	0	2	2	1	5	0
State Mutation Complete	79	0	2	2	0	0	5
Event Dispatch Begin	80	0	2	2	8	5	0
State Mutation Complete	80	0	2	2	0	0	5
Atlas Publication Begin	81	7	3	3	80	0	0
Atlas Publication Complete	81	7	3	3	0	0	0
Event Dispatch Begin	81	0	2	2	5	5	0
Frame Build Begin	81	7	3	3	1148190720	1141309440	0
Frame Build Complete	81	7	3	3	86	80	0
Glyph Atlas Summary	81	7	3	3	89	0	70400
Layout Cache Summary	81	7	3	3	4	1	2880
Native Actual Presentation Latency	81	0	0	0	64683625	0	0
Native Display Link Target Latency	81	0	0	0	14683958	0	0
Native Event Handler Latency	81	0	0	0	86583	0	0
Native Frame Queue Latency	81	0	0	0	6332875	0	0
Native GPU Terminal Observed Latency	81	0	0	0	15423458	0	0
Native Presentation Callback Lag	81	0	0	0	3099500	0	0
Native Presented Handler Latency	81	0	0	0	67783875	0	0
Native Submission Latency	81	0	0	0	136542	0	0
Native Target Presentation Latency	81	0	0	0	48017208	0	0
Native Terminal Record Latency	81	0	0	0	23441333	0	0
State Mutation Complete	81	0	3	3	1	1	6
Text Summary	81	7	3	3	3	0	1
Visible Layout Begin	81	7	3	3	0	0	0
Visible Layout Complete	81	7	3	3	5	0	0
Event Dispatch Begin	82	0	3	3	8	6	0
State Mutation Complete	82	0	3	3	0	0	6
Event Dispatch Begin	83	0	3	3	1	6	0
State Mutation Complete	83	0	3	3	0	0	6
Event Dispatch Begin	84	0	3	3	8	6	0
State Mutation Complete	84	0	3	3	0	0	6
Event Dispatch Begin	85	0	3	3	1	6	0
State Mutation Complete	85	0	3	3	0	0	6
Event Dispatch Begin	86	0	3	3	8	6	0
State Mutation Complete	86	0	3	3	0	0	6
Event Dispatch Begin	87	0	3	3	1	6	0
State Mutation Complete	87	0	3	3	0	0	6
Event Dispatch Begin	88	0	3	3	8	6	0
State Mutation Complete	88	0	3	3	0	0	6
Event Dispatch Begin	89	0	3	3	1	6	0
State Mutation Complete	89	0	3	3	0	0	6
Event Dispatch Begin	90	0	3	3	8	6	0
State Mutation Complete	90	0	3	3	0	0	6
Atlas Publication Begin	91	8	4	4	81	0	0
Atlas Publication Complete	91	8	4	4	0	0	0
Event Dispatch Begin	91	0	3	3	5	6	0
Frame Build Begin	91	8	4	4	1148190720	1141309440	0
Frame Build Complete	91	8	4	4	87	81	0
Glyph Atlas Summary	91	8	4	4	90	0	70400
Layout Cache Summary	91	8	4	4	4	1	2944
Native Actual Presentation Latency	91	0	0	0	64264750	0	0
Native Display Link Target Latency	91	0	0	0	14264917	0	0
Native Event Handler Latency	91	0	0	0	167125	0	0
Native Frame Queue Latency	91	0	0	0	5824041	0	0
Native GPU Terminal Observed Latency	91	0	0	0	14373167	0	0
Native Presentation Callback Lag	91	0	0	0	2796542	0	0
Native Presented Handler Latency	91	0	0	0	67062917	0	0
Native Submission Latency	91	0	0	0	67625	0	0
Native Target Presentation Latency	91	0	0	0	47598167	0	0
Native Terminal Record Latency	91	0	0	0	22697167	0	0
State Mutation Complete	91	0	4	4	1	1	7
Text Summary	91	8	4	4	3	0	1
Visible Layout Begin	91	8	4	4	0	0	0
Visible Layout Complete	91	8	4	4	5	0	0
Event Dispatch Begin	92	0	4	4	8	7	0
State Mutation Complete	92	0	4	4	0	0	7
Event Dispatch Begin	93	0	4	4	1	7	0
State Mutation Complete	93	0	4	4	0	0	7
Event Dispatch Begin	94	0	4	4	8	7	0
State Mutation Complete	94	0	4	4	0	0	7
Event Dispatch Begin	95	0	4	4	1	7	0
State Mutation Complete	95	0	4	4	0	0	7
Event Dispatch Begin	96	0	4	4	8	7	0
State Mutation Complete	96	0	4	4	0	0	7
Event Dispatch Begin	97	0	4	4	1	7	0
State Mutation Complete	97	0	4	4	0	0	7
Event Dispatch Begin	98	0	4	4	8	7	0
State Mutation Complete	98	0	4	4	0	0	7
Event Dispatch Begin	99	0	4	4	1	7	0
State Mutation Complete	99	0	4	4	0	0	7
Event Dispatch Begin	100	0	4	4	8	7	0
State Mutation Complete	100	0	4	4	0	0	7
Atlas Publication Begin	101	9	5	5	81	0	0
Atlas Publication Complete	101	9	5	5	0	0	0
Event Dispatch Begin	101	0	4	4	5	7	0
Frame Build Begin	101	9	5	5	1148190720	1141309440	0
Frame Build Complete	101	9	5	5	87	81	0
Glyph Atlas Summary	101	9	5	5	91	0	70400
Layout Cache Summary	101	9	5	5	4	1	3008
Native Actual Presentation Latency	101	0	0	0	43781375	0	0
Native Display Link Target Latency	101	0	0	0	10448208	0	0
Native Event Handler Latency	101	0	0	0	95834	0	0
Native Frame Queue Latency	101	0	0	0	2068500	0	0
Native GPU Terminal Observed Latency	101	0	0	0	10500084	0	0
Native Presentation Callback Lag	101	0	0	0	215250	0	0
Native Presented Handler Latency	101	0	0	0	43996709	0	0
Native Submission Latency	101	0	0	0	60584	0	0
Native Target Presentation Latency	101	0	0	0	43781458	0	0
Native Terminal Record Latency	101	0	0	0	18881709	0	0
State Mutation Complete	101	0	5	5	1	1	8
Text Summary	101	9	5	5	3	0	1
Visible Layout Begin	101	9	5	5	0	0	0
Visible Layout Complete	101	9	5	5	5	0	0
Event Dispatch Begin	102	0	5	5	8	8	0
State Mutation Complete	102	0	5	5	0	0	8
Event Dispatch Begin	103	0	5	5	1	8	0
State Mutation Complete	103	0	5	5	0	0	8
Event Dispatch Begin	104	0	5	5	8	8	0
State Mutation Complete	104	0	5	5	0	0	8
Event Dispatch Begin	105	0	5	5	1	8	0
State Mutation Complete	105	0	5	5	0	0	8
Event Dispatch Begin	106	0	5	5	8	8	0
State Mutation Complete	106	0	5	5	0	0	8
Event Dispatch Begin	107	0	5	5	1	8	0
State Mutation Complete	107	0	5	5	0	0	8
Event Dispatch Begin	108	0	5	5	8	8	0
State Mutation Complete	108	0	5	5	0	0	8
Event Dispatch Begin	109	0	5	5	1	8	0
State Mutation Complete	109	0	5	5	0	0	8
Event Dispatch Begin	110	0	5	5	8	8	0
State Mutation Complete	110	0	5	5	0	0	8
Atlas Publication Begin	111	10	6	6	82	0	0
Atlas Publication Complete	111	10	6	6	0	0	0
Event Dispatch Begin	111	0	5	5	5	8	0
Frame Build Begin	111	10	6	6	1148190720	1141309440	0
Frame Build Complete	111	10	6	6	88	82	0
Glyph Atlas Summary	111	10	6	6	92	0	70400
Layout Cache Summary	111	10	6	6	4	1	3072
Native Actual Presentation Latency	111	0	0	0	43566875	0	0
Native Display Link Target Latency	111	0	0	0	10233875	0	0
Native Event Handler Latency	111	0	0	0	218292	0	0
Native Frame Queue Latency	111	0	0	0	1752459	0	0
Native GPU Terminal Observed Latency	111	0	0	0	10374292	0	0
Native Presentation Callback Lag	111	0	0	0	327250	0	0
Native Presented Handler Latency	111	0	0	0	43895500	0	0
Native Submission Latency	111	0	0	0	100625	0	0
Native Target Presentation Latency	111	0	0	0	43567125	0	0
Native Terminal Record Latency	111	0	0	0	18727375	0	0
State Mutation Complete	111	0	6	6	1	1	9
Text Summary	111	10	6	6	3	0	1
Visible Layout Begin	111	10	6	6	0	0	0
Visible Layout Complete	111	10	6	6	5	0	0
Event Dispatch Begin	112	0	6	6	8	9	0
State Mutation Complete	112	0	6	6	0	0	9
Event Dispatch Begin	113	0	6	6	1	9	0
State Mutation Complete	113	0	6	6	0	0	9
Event Dispatch Begin	114	0	6	6	8	9	0
State Mutation Complete	114	0	6	6	0	0	9
Event Dispatch Begin	115	0	6	6	1	9	0
State Mutation Complete	115	0	6	6	0	0	9
Event Dispatch Begin	116	0	6	6	8	9	0
State Mutation Complete	116	0	6	6	0	0	9
Event Dispatch Begin	117	0	6	6	1	9	0
State Mutation Complete	117	0	6	6	0	0	9
Event Dispatch Begin	118	0	6	6	8	9	0
State Mutation Complete	118	0	6	6	0	0	9
Event Dispatch Begin	119	0	6	6	1	9	0
State Mutation Complete	119	0	6	6	0	0	9
Event Dispatch Begin	120	0	6	6	8	9	0
State Mutation Complete	120	0	6	6	0	0	9
Atlas Publication Begin	121	11	7	7	83	0	0
Atlas Publication Complete	121	11	7	7	0	0	0
Event Dispatch Begin	121	0	6	6	5	9	0
Frame Build Begin	121	11	7	7	1148190720	1141309440	0
Frame Build Complete	121	11	7	7	89	83	0
Glyph Atlas Summary	121	11	7	7	93	0	70400
Layout Cache Summary	121	11	7	7	4	1	3136
Native Actual Presentation Latency	121	0	0	0	43798958	0	0
Native Display Link Target Latency	121	0	0	0	10466083	0	0
Native Event Handler Latency	121	0	0	0	88417	0	0
Native Frame Queue Latency	121	0	0	0	2082791	0	0
Native GPU Terminal Observed Latency	121	0	0	0	10525250	0	0
Native Presentation Callback Lag	121	0	0	0	231292	0	0
Native Presented Handler Latency	121	0	0	0	44031167	0	0
Native Submission Latency	121	0	0	0	81334	0	0
Native Target Presentation Latency	121	0	0	0	43799333	0	0
Native Terminal Record Latency	121	0	0	0	18889875	0	0
State Mutation Complete	121	0	7	7	1	1	10
Text Summary	121	11	7	7	3	0	1
Visible Layout Begin	121	11	7	7	0	0	0
Visible Layout Complete	121	11	7	7	5	0	0
Event Dispatch Begin	122	0	7	7	8	10	0
State Mutation Complete	122	0	7	7	0	0	10
Event Dispatch Begin	123	0	7	7	1	10	0
State Mutation Complete	123	0	7	7	0	0	10
Event Dispatch Begin	124	0	7	7	8	10	0
State Mutation Complete	124	0	7	7	0	0	10
Event Dispatch Begin	125	0	7	7	1	10	0
State Mutation Complete	125	0	7	7	0	0	10
Event Dispatch Begin	126	0	7	7	8	10	0
State Mutation Complete	126	0	7	7	0	0	10
Event Dispatch Begin	127	0	7	7	1	10	0
State Mutation Complete	127	0	7	7	0	0	10
Event Dispatch Begin	128	0	7	7	8	10	0
State Mutation Complete	128	0	7	7	0	0	10
Event Dispatch Begin	129	0	7	7	1	10	0
State Mutation Complete	129	0	7	7	0	0	10
Event Dispatch Begin	130	0	7	7	8	10	0
State Mutation Complete	130	0	7	7	0	0	10
Atlas Publication Begin	131	12	8	8	84	0	0
Atlas Publication Complete	131	12	8	8	0	0	0
Event Dispatch Begin	131	0	7	7	5	10	0
Frame Build Begin	131	12	8	8	1148190720	1141309440	0
Frame Build Complete	131	12	8	8	90	84	0
Glyph Atlas Summary	131	12	8	8	94	0	70400
Layout Cache Summary	131	12	8	8	4	1	3200
Native Actual Presentation Latency	131	0	0	0	57258708	0	0
Native Display Link Target Latency	131	0	0	0	15592125	0	0
Native Event Handler Latency	131	0	0	0	104041	0	0
Native Frame Queue Latency	131	0	0	0	7204083	0	0
Native GPU Terminal Observed Latency	131	0	0	0	15763666	0	0
Native Presentation Callback Lag	131	0	0	0	257792	0	0
Native Presented Handler Latency	131	0	0	0	57516625	0	0
Native Submission Latency	131	0	0	0	59042	0	0
Native Target Presentation Latency	131	0	0	0	48925375	0	0
Native Terminal Record Latency	131	0	0	0	24012625	0	0
State Mutation Complete	131	0	8	8	1	1	11
Text Summary	131	12	8	8	3	0	1
Visible Layout Begin	131	12	8	8	0	0	0
Visible Layout Complete	131	12	8	8	5	0	0
Event Dispatch Begin	132	0	8	8	8	11	0
State Mutation Complete	132	0	8	8	0	0	11
Event Dispatch Begin	133	0	8	8	1	11	0
State Mutation Complete	133	0	8	8	0	0	11
Event Dispatch Begin	134	0	8	8	8	11	0
State Mutation Complete	134	0	8	8	0	0	11
Event Dispatch Begin	135	0	8	8	1	11	0
State Mutation Complete	135	0	8	8	0	0	11
Event Dispatch Begin	136	0	8	8	8	11	0
State Mutation Complete	136	0	8	8	0	0	11
Event Dispatch Begin	137	0	8	8	1	11	0
State Mutation Complete	137	0	8	8	0	0	11
Event Dispatch Begin	138	0	8	8	8	11	0
State Mutation Complete	138	0	8	8	0	0	11
Event Dispatch Begin	139	0	8	8	1	11	0
State Mutation Complete	139	0	8	8	0	0	11
Event Dispatch Begin	140	0	8	8	8	11	0
State Mutation Complete	140	0	8	8	0	0	11
Atlas Publication Begin	141	13	9	9	85	0	0
Atlas Publication Complete	141	13	9	9	0	0	0
Event Dispatch Begin	141	0	8	8	5	11	0
Frame Build Begin	141	13	9	9	1148190720	1141309440	0
Frame Build Complete	141	13	9	9	91	85	0
Glyph Atlas Summary	141	13	9	9	95	0	70400
Layout Cache Summary	141	13	9	9	4	1	3264
Native Actual Presentation Latency	141	0	0	0	46569333	0	0
Native Display Link Target Latency	141	0	0	0	13236250	0	0
Native Event Handler Latency	141	0	0	0	165375	0	0
Native Frame Queue Latency	141	0	0	0	4801667	0	0
Native GPU Terminal Observed Latency	141	0	0	0	13334417	0	0
Native Presentation Callback Lag	141	0	0	0	200208	0	0
Native Presented Handler Latency	141	0	0	0	46769625	0	0
Native Submission Latency	141	0	0	0	82042	0	0
Native Target Presentation Latency	141	0	0	0	46569500	0	0
Native Terminal Record Latency	141	0	0	0	21658083	0	0
State Mutation Complete	141	0	9	9	1	1	12
Text Summary	141	13	9	9	3	0	1
Visible Layout Begin	141	13	9	9	0	0	0
Visible Layout Complete	141	13	9	9	5	0	0
Event Dispatch Begin	142	0	9	9	8	12	0
State Mutation Complete	142	0	9	9	0	0	12
Event Dispatch Begin	143	0	9	9	1	12	0
State Mutation Complete	143	0	9	9	0	0	12
Event Dispatch Begin	144	0	9	9	8	12	0
State Mutation Complete	144	0	9	9	0	0	12
Event Dispatch Begin	145	0	9	9	1	12	0
State Mutation Complete	145	0	9	9	0	0	12
Event Dispatch Begin	146	0	9	9	8	12	0
State Mutation Complete	146	0	9	9	0	0	12
Event Dispatch Begin	147	0	9	9	1	12	0
State Mutation Complete	147	0	9	9	0	0	12
Event Dispatch Begin	148	0	9	9	8	12	0
State Mutation Complete	148	0	9	9	0	0	12
Event Dispatch Begin	149	0	9	9	1	12	0
State Mutation Complete	149	0	9	9	0	0	12
Event Dispatch Begin	150	0	9	9	8	12	0
State Mutation Complete	150	0	9	9	0	0	12
Atlas Publication Begin	151	14	10	10	86	0	0
Atlas Publication Complete	151	14	10	10	0	0	0
Event Dispatch Begin	151	0	9	9	5	12	0
Frame Build Begin	151	14	10	10	1148190720	1141309440	0
Frame Build Complete	151	14	10	10	92	86	0
Glyph Atlas Summary	151	14	10	10	96	0	70400
Layout Cache Summary	151	14	10	10	4	1	3328
Native Actual Presentation Latency	151	0	0	0	52101250	0	0
Native Display Link Target Latency	151	0	0	0	10434917	0	0
Native Event Handler Latency	151	0	0	0	89167	0	0
Native Frame Queue Latency	151	0	0	0	2060834	0	0
Native GPU Terminal Observed Latency	151	0	0	0	10483750	0	0
Native Presentation Callback Lag	151	0	0	0	580958	0	0
Native Presented Handler Latency	151	0	0	0	52682792	0	0
Native Submission Latency	151	0	0	0	80541	0	0
Native Target Presentation Latency	151	0	0	0	43768167	0	0
Native Terminal Record Latency	151	0	0	0	18896333	0	0
State Mutation Complete	151	0	10	10	1	1	13
Text Summary	151	14	10	10	3	0	1
Visible Layout Begin	151	14	10	10	0	0	0
Visible Layout Complete	151	14	10	10	5	0	0
Event Dispatch Begin	152	0	10	10	8	13	0
State Mutation Complete	152	0	10	10	0	0	13
Event Dispatch Begin	153	0	10	10	1	13	0
State Mutation Complete	153	0	10	10	0	0	13
Event Dispatch Begin	154	0	10	10	8	13	0
State Mutation Complete	154	0	10	10	0	0	13
Event Dispatch Begin	155	0	10	10	1	13	0
State Mutation Complete	155	0	10	10	0	0	13
Event Dispatch Begin	156	0	10	10	8	13	0
State Mutation Complete	156	0	10	10	0	0	13
Event Dispatch Begin	157	0	10	10	1	13	0
State Mutation Complete	157	0	10	10	0	0	13
Event Dispatch Begin	158	0	10	10	8	13	0
State Mutation Complete	158	0	10	10	0	0	13
Event Dispatch Begin	159	0	10	10	1	13	0
State Mutation Complete	159	0	10	10	0	0	13
Event Dispatch Begin	160	0	10	10	8	13	0
State Mutation Complete	160	0	10	10	0	0	13
Atlas Publication Begin	161	15	11	11	87	0	0
Atlas Publication Complete	161	15	11	11	2	5888	1
Event Dispatch Begin	161	0	10	10	5	13	0
Frame Build Begin	161	15	11	11	1148190720	1141309440	0
Frame Build Complete	161	15	11	11	93	87	0
Glyph Atlas Summary	161	15	11	11	96	1	75008
Layout Cache Summary	161	15	11	11	4	1	3392
Native Actual Presentation Latency	161	0	0	0	54569042	0	0
Native Display Link Target Latency	161	0	0	0	12902417	0	0
Native Event Handler Latency	161	0	0	0	291667	0	0
Native Frame Queue Latency	161	0	0	0	4322500	0	0
