event	missing_stage
468	Native Display Link Target Latency
468	Native Event Handler Latency
468	Native Frame Queue Latency
468	Native GPU Terminal Observed Latency
468	Native Presentation Callback Lag
468	Native Presented Handler Latency
468	Native Submission Latency
468	Native Target Presentation Latency
468	Native Terminal Record Latency
478	Native Actual Presentation Latency
478	Native Display Link Target Latency
478	Native Event Handler Latency
478	Native Frame Queue Latency
478	Native GPU Terminal Observed Latency
478	Native Presentation Callback Lag
478	Native Presented Handler Latency
478	Native Submission Latency
478	Native Target Presentation Latency
478	Native Terminal Record Latency
488	Native Actual Presentation Latency
488	Native Display Link Target Latency
488	Native Event Handler Latency
488	Native Frame Queue Latency
488	Native GPU Terminal Observed Latency
488	Native Presentation Callback Lag
488	Native Presented Handler Latency
488	Native Submission Latency
488	Native Target Presentation Latency
488	Native Terminal Record Latency
508	Native Actual Presentation Latency
508	Native Display Link Target Latency
508	Native Event Handler Latency
508	Native Frame Queue Latency
508	Native GPU Terminal Observed Latency
508	Native Presentation Callback Lag
508	Native Presented Handler Latency
508	Native Submission Latency
508	Native Target Presentation Latency
508	Native Terminal Record Latency
518	Native Actual Presentation Latency
518	Native Display Link Target Latency
518	Native Event Handler Latency
518	Native Frame Queue Latency
518	Native GPU Terminal Observed Latency
518	Native Presentation Callback Lag
518	Native Presented Handler Latency
518	Native Submission Latency
518	Native Target Presentation Latency
518	Native Terminal Record Latency
538	Native Actual Presentation Latency
538	Native Display Link Target Latency
538	Native Event Handler Latency
538	Native Frame Queue Latency
538	Native GPU Terminal Observed Latency
538	Native Presentation Callback Lag
538	Native Presented Handler Latency
538	Native Submission Latency
538	Native Target Presentation Latency
538	Native Terminal Record Latency
548	Native Actual Presentation Latency
548	Native Display Link Target Latency
548	Native Event Handler Latency
548	Native Frame Queue Latency
548	Native GPU Terminal Observed Latency
548	Native Presentation Callback Lag
548	Native Presented Handler Latency
548	Native Submission Latency
548	Native Target Presentation Latency
548	Native Terminal Record Latency
568	Native Actual Presentation Latency
568	Native Display Link Target Latency
568	Native Event Handler Latency
568	Native Frame Queue Latency
568	Native GPU Terminal Observed Latency
568	Native Presentation Callback Lag
568	Native Presented Handler Latency
568	Native Submission Latency
568	Native Target Presentation Latency
568	Native Terminal Record Latency
578	Native Actual Presentation Latency
578	Native Display Link Target Latency
578	Native Event Handler Latency
578	Native Frame Queue Latency
578	Native GPU Terminal Observed Latency
578	Native Presentation Callback Lag
578	Native Presented Handler Latency
578	Native Submission Latency
578	Native Target Presentation Latency
578	Native Terminal Record Latency
