stage	event	scene	document	buffer	a	b	c
Layout Cache Summary	102	6	1	1	4	1	2368
State Mutation Complete	102	0	1	1	1	1	3
Text Summary	102	6	1	1	3	0	1
Visible Layout Begin	102	6	1	1	0	0	0
Visible Layout Complete	102	6	1	1	5	0	0
Event Dispatch Begin	103	0	1	1	8	3	0
State Mutation Complete	103	0	1	1	0	0	3
Event Dispatch Begin	104	0	1	1	1	3	0
State Mutation Complete	104	0	1	1	0	0	3
Event Dispatch Begin	105	0	1	1	8	3	0
State Mutation Complete	105	0	1	1	0	0	3
Event Dispatch Begin	106	0	1	1	1	3	0
State Mutation Complete	106	0	1	1	0	0	3
Event Dispatch Begin	107	0	1	1	8	3	0
State Mutation Complete	107	0	1	1	0	0	3
Event Dispatch Begin	108	0	1	1	1	3	0
State Mutation Complete	108	0	1	1	0	0	3
Event Dispatch Begin	109	0	1	1	8	3	0
State Mutation Complete	109	0	1	1	0	0	3
Event Dispatch Begin	110	0	1	1	1	3	0
State Mutation Complete	110	0	1	1	0	0	3
Event Dispatch Begin	111	0	1	1	8	3	0
State Mutation Complete	111	0	1	1	0	0	3
Atlas Publication Begin	112	7	2	2	81	0	0
Atlas Publication Complete	112	7	2	2	2	6400	1
Event Dispatch Begin	112	0	1	1	5	3	0
Frame Build Begin	112	7	2	2	1148190720	1141309440	0
Frame Build Complete	112	7	2	2	87	81	0
Glyph Atlas Summary	112	7	2	2	89	1	75264
Layout Cache Summary	112	7	2	2	4	1	2816
Native Event Handler Latency	112	0	0	0	188083	0	0
Native Frame Queue Latency	112	0	0	0	8206166	0	0
Native GPU Terminal Observed Latency	112	0	0	0	20411041	0	0
Native Submission Latency	112	0	0	0	169584	0	0
Native Terminal Record Latency	112	0	0	0	20412541	0	0
State Mutation Complete	112	0	2	2	1	1	4
Text Summary	112	7	2	2	3	1	1
Visible Layout Begin	112	7	2	2	0	0	0
Visible Layout Complete	112	7	2	2	5	0	0
Event Dispatch Begin	113	0	2	2	8	4	0
State Mutation Complete	113	0	2	2	0	0	4
Event Dispatch Begin	114	0	2	2	1	4	0
State Mutation Complete	114	0	2	2	0	0	4
Event Dispatch Begin	115	0	2	2	8	4	0
State Mutation Complete	115	0	2	2	0	0	4
Event Dispatch Begin	116	0	2	2	1	4	0
State Mutation Complete	116	0	2	2	0	0	4
Event Dispatch Begin	117	0	2	2	8	4	0
State Mutation Complete	117	0	2	2	0	0	4
Event Dispatch Begin	118	0	2	2	1	4	0
State Mutation Complete	118	0	2	2	0	0	4
Event Dispatch Begin	119	0	2	2	8	4	0
State Mutation Complete	119	0	2	2	0	0	4
Event Dispatch Begin	120	0	2	2	1	4	0
State Mutation Complete	120	0	2	2	0	0	4
Event Dispatch Begin	121	0	2	2	8	4	0
State Mutation Complete	121	0	2	2	0	0	4
Atlas Publication Begin	122	8	3	3	82	0	0
Atlas Publication Complete	122	8	3	3	0	0	0
Event Dispatch Begin	122	0	2	2	5	4	0
Frame Build Begin	122	8	3	3	1148190720	1141309440	0
Frame Build Complete	122	8	3	3	88	82	0
Glyph Atlas Summary	122	8	3	3	91	0	75264
Layout Cache Summary	122	8	3	3	4	1	2880
State Mutation Complete	122	0	3	3	1	1	5
Text Summary	122	8	3	3	3	0	1
Visible Layout Begin	122	8	3	3	0	0	0
Visible Layout Complete	122	8	3	3	5	0	0
Event Dispatch Begin	123	0	3	3	8	5	0
State Mutation Complete	123	0	3	3	0	0	5
Event Dispatch Begin	124	0	3	3	1	5	0
State Mutation Complete	124	0	3	3	0	0	5
Event Dispatch Begin	125	0	3	3	8	5	0
State Mutation Complete	125	0	3	3	0	0	5
Event Dispatch Begin	126	0	3	3	1	5	0
State Mutation Complete	126	0	3	3	0	0	5
Event Dispatch Begin	127	0	3	3	8	5	0
State Mutation Complete	127	0	3	3	0	0	5
Event Dispatch Begin	128	0	3	3	1	5	0
State Mutation Complete	128	0	3	3	0	0	5
Event Dispatch Begin	129	0	3	3	8	5	0
State Mutation Complete	129	0	3	3	0	0	5
Event Dispatch Begin	130	0	3	3	1	5	0
State Mutation Complete	130	0	3	3	0	0	5
Event Dispatch Begin	131	0	3	3	8	5	0
State Mutation Complete	131	0	3	3	0	0	5
Atlas Publication Begin	132	9	4	4	82	0	0
Atlas Publication Complete	132	9	4	4	0	0	0
Event Dispatch Begin	132	0	3	3	5	5	0
Frame Build Begin	132	9	4	4	1148190720	1141309440	0
Frame Build Complete	132	9	4	4	88	82	0
Glyph Atlas Summary	132	9	4	4	92	0	75264
Layout Cache Summary	132	9	4	4	4	1	2944
State Mutation Complete	132	0	4	4	1	1	6
Text Summary	132	9	4	4	3	0	1
Visible Layout Begin	132	9	4	4	0	0	0
Visible Layout Complete	132	9	4	4	5	0	0
Event Dispatch Begin	133	0	4	4	8	6	0
State Mutation Complete	133	0	4	4	0	0	6
Event Dispatch Begin	134	0	4	4	1	6	0
State Mutation Complete	134	0	4	4	0	0	6
Event Dispatch Begin	135	0	4	4	8	6	0
State Mutation Complete	135	0	4	4	0	0	6
Event Dispatch Begin	136	0	4	4	1	6	0
State Mutation Complete	136	0	4	4	0	0	6
Event Dispatch Begin	137	0	4	4	8	6	0
State Mutation Complete	137	0	4	4	0	0	6
