stage	event	scene	document	buffer	a	b	c
State Mutation Complete	79	0	4	4	0	0	5
Event Dispatch Begin	80	0	4	4	1	5	0
State Mutation Complete	80	0	4	4	0	0	5
Event Dispatch Begin	81	0	4	4	8	5	0
State Mutation Complete	81	0	4	4	0	0	5
Event Dispatch Begin	82	0	4	4	1	5	0
State Mutation Complete	82	0	4	4	0	0	5
Event Dispatch Begin	83	0	4	4	8	5	0
State Mutation Complete	83	0	4	4	0	0	5
Event Dispatch Begin	84	0	4	4	1	5	0
State Mutation Complete	84	0	4	4	0	0	5
Event Dispatch Begin	85	0	4	4	8	5	0
State Mutation Complete	85	0	4	4	0	0	5
Event Dispatch Begin	86	0	4	4	1	5	0
State Mutation Complete	86	0	4	4	0	0	5
Event Dispatch Begin	87	0	4	4	8	5	0
State Mutation Complete	87	0	4	4	0	0	5
Atlas Publication Begin	88	6	5	5	17	0	0
Atlas Publication Complete	88	6	5	5	0	0	0
Event Dispatch Begin	88	0	4	4	5	5	0
Frame Build Begin	88	6	5	5	1148190720	1141309440	0
Frame Build Complete	88	6	5	5	22	17	0
Glyph Atlas Summary	88	6	5	5	17	0	68096
Layout Cache Summary	88	6	5	5	0	1	1120
State Mutation Complete	88	0	5	5	1	1	6
Text Summary	88	6	5	5	2	0	1
Visible Layout Begin	88	6	5	5	0	0	0
Visible Layout Complete	88	6	5	5	1	0	0
Event Dispatch Begin	89	0	5	5	8	6	0
State Mutation Complete	89	0	5	5	0	0	6
Event Dispatch Begin	90	0	5	5	1	6	0
State Mutation Complete	90	0	5	5	0	0	6
Event Dispatch Begin	91	0	5	5	8	6	0
State Mutation Complete	91	0	5	5	0	0	6
Event Dispatch Begin	92	0	5	5	1	6	0
State Mutation Complete	92	0	5	5	0	0	6
Event Dispatch Begin	93	0	5	5	8	6	0
State Mutation Complete	93	0	5	5	0	0	6
Event Dispatch Begin	94	0	5	5	1	6	0
State Mutation Complete	94	0	5	5	0	0	6
Event Dispatch Begin	95	0	5	5	8	6	0
State Mutation Complete	95	0	5	5	0	0	6
Event Dispatch Begin	96	0	5	5	1	6	0
State Mutation Complete	96	0	5	5	0	0	6
Event Dispatch Begin	97	0	5	5	8	6	0
State Mutation Complete	97	0	5	5	0	0	6
Atlas Publication Begin	98	7	6	6	18	0	0
Atlas Publication Complete	98	7	6	6	2	4352	1
Event Dispatch Begin	98	0	5	5	5	6	0
Frame Build Begin	98	7	6	6	1148190720	1141309440	0
Frame Build Complete	98	7	6	6	23	18	0
Glyph Atlas Summary	98	7	6	6	17	1	68096
Layout Cache Summary	98	7	6	6	0	1	1184
State Mutation Complete	98	0	6	6	1	1	7
Text Summary	98	7	6	6	2	1	1
Visible Layout Begin	98	7	6	6	0	0	0
Visible Layout Complete	98	7	6	6	1	0	0
Event Dispatch Begin	99	0	6	6	8	7	0
State Mutation Complete	99	0	6	6	0	0	7
Event Dispatch Begin	100	0	6	6	1	7	0
State Mutation Complete	100	0	6	6	0	0	7
Event Dispatch Begin	101	0	6	6	8	7	0
State Mutation Complete	101	0	6	6	0	0	7
Event Dispatch Begin	102	0	6	6	1	7	0
State Mutation Complete	102	0	6	6	0	0	7
Event Dispatch Begin	103	0	6	6	8	7	0
State Mutation Complete	103	0	6	6	0	0	7
Event Dispatch Begin	104	0	6	6	1	7	0
State Mutation Complete	104	0	6	6	0	0	7
Event Dispatch Begin	105	0	6	6	8	7	0
State Mutation Complete	105	0	6	6	0	0	7
Event Dispatch Begin	106	0	6	6	1	7	0
State Mutation Complete	106	0	6	6	0	0	7
Event Dispatch Begin	107	0	6	6	8	7	0
State Mutation Complete	107	0	6	6	0	0	7
Atlas Publication Begin	108	8	7	7	19	0	0
