stage	event	scene	document	buffer	a	b	c
Native GPU Terminal Observed Latency	73	0	0	0	27944416	0	0
Native Presented Handler Latency	73	0	0	0	36300750	0	0
Native Submission Latency	73	0	0	0	444083	0	0
Native Target Presentation Latency	73	0	0	0	52840792	0	0
Native Terminal Record Latency	73	0	0	0	36288541	0	0
State Mutation Complete	73	0	0	0	1	0	1
Text Summary	73	4	0	0	2	0	0
Visible Layout Begin	73	4	0	0	0	0	0
Visible Layout Complete	73	4	0	0	4	0	0
Event Dispatch Begin	74	0	0	0	8	1	0
State Mutation Complete	74	0	0	0	0	0	1
Atlas Publication Begin	75	5	0	0	78	0	0
Atlas Publication Complete	75	5	0	0	0	0	0
Event Dispatch Begin	75	0	0	0	2	1	0
Frame Build Begin	75	5	0	0	1148190720	1141309440	0
Frame Build Complete	75	5	0	0	84	78	0
Glyph Atlas Summary	75	5	0	0	87	0	70400
Layout Cache Summary	75	5	0	0	4	0	1952
Native Actual Presentation Latency	75	0	0	0	44471083	0	0
Native Display Link Target Latency	75	0	0	0	11137917	0	0
Native Event Handler Latency	75	0	0	0	338875	0	0
Native Frame Queue Latency	75	0	0	0	2546709	0	0
Native GPU Terminal Observed Latency	75	0	0	0	11407625	0	0
Native Presentation Callback Lag	75	0	0	0	284167	0	0
Native Presented Handler Latency	75	0	0	0	44754958	0	0
Native Submission Latency	75	0	0	0	220833	0	0
Native Target Presentation Latency	75	0	0	0	44471167	0	0
Native Terminal Record Latency	75	0	0	0	11409625	0	0
State Mutation Complete	75	0	0	0	1	0	2
Text Summary	75	5	0	0	2	0	0
Visible Layout Begin	75	5	0	0	0	0	0
Visible Layout Complete	75	5	0	0	4	0	0
Event Dispatch Begin	76	0	0	0	8	2	0
State Mutation Complete	76	0	0	0	0	0	2
Event Dispatch Begin	77	0	0	0	2	2	0
State Mutation Complete	77	0	0	0	0	0	2
Event Dispatch Begin	78	0	0	0	8	2	0
State Mutation Complete	78	0	0	0	0	0	2
Event Dispatch Begin	79	0	0	0	1	2	0
State Mutation Complete	79	0	0	0	0	0	2
Event Dispatch Begin	80	0	0	0	8	2	0
State Mutation Complete	80	0	0	0	0	0	2
Atlas Publication Begin	81	6	0	0	78	0	0
Atlas Publication Complete	81	6	0	0	0	0	0
Event Dispatch Begin	81	0	0	0	1	2	0
Frame Build Begin	81	6	0	0	1148190720	1141309440	0
Frame Build Complete	81	6	0	0	84	78	0
Glyph Atlas Summary	81	6	0	0	87	0	70400
Layout Cache Summary	81	6	0	0	4	0	1952
Native Display Link Target Latency	81	0	0	0	20370083	0	0
Native Event Handler Latency	81	0	0	0	200958	0	0
Native Frame Queue Latency	81	0	0	0	11916334	0	0
Native GPU Terminal Observed Latency	81	0	0	0	23705625	0	0
Native Presented Handler Latency	81	0	0	0	37325458	0	0
Native Submission Latency	81	0	0	0	103291	0	0
Native Target Presentation Latency	81	0	0	0	53703333	0	0
Native Terminal Record Latency	81	0	0	0	23706875	0	0
State Mutation Complete	81	0	0	0	1	0	3
Text Summary	81	6	0	0	2	0	0
Visible Layout Begin	81	6	0	0	0	0	0
Visible Layout Complete	81	6	0	0	4	0	0
Event Dispatch Begin	82	0	0	0	8	3	0
State Mutation Complete	82	0	0	0	0	0	3
Event Dispatch Begin	83	0	0	0	1	3	0
State Mutation Complete	83	0	0	0	0	0	3
Event Dispatch Begin	84	0	0	0	8	3	0
State Mutation Complete	84	0	0	0	0	0	3
Event Dispatch Begin	85	0	0	0	1	3	0
State Mutation Complete	85	0	0	0	0	0	3
Event Dispatch Begin	86	0	0	0	8	3	0
State Mutation Complete	86	0	0	0	0	0	3
Event Dispatch Begin	87	0	0	0	1	3	0
State Mutation Complete	87	0	0	0	0	0	3
Event Dispatch Begin	88	0	0	0	8	3	0
State Mutation Complete	88	0	0	0	0	0	3
Atlas Publication Begin	89	7	1	1	78	0	0
Atlas Publication Complete	89	7	1	1	0	0	0
Event Dispatch Begin	89	0	0	0	1	3	0
Frame Build Begin	89	7	1	1	1148190720	1141309440	0
Frame Build Complete	89	7	1	1	84	78	0
Glyph Atlas Summary	89	7	1	1	87	0	70400
Layout Cache Summary	89	7	1	1	4	1	2368
Native Actual Presentation Latency	89	0	0	0	59381083	0	0
Native Display Link Target Latency	89	0	0	0	17714667	0	0
Native Event Handler Latency	89	0	0	0	207000	0	0
Native Frame Queue Latency	89	0	0	0	9309750	0	0
Native GPU Terminal Observed Latency	89	0	0	0	17824083	0	0
Native Presentation Callback Lag	89	0	0	0	335625	0	0
Native Presented Handler Latency	89	0	0	0	59716792	0	0
Native Submission Latency	89	0	0	0	144125	0	0
Native Target Presentation Latency	89	0	0	0	51047917	0	0
Native Terminal Record Latency	89	0	0	0	17825417	0	0
State Mutation Complete	89	0	1	1	1	1	4
Text Summary	89	7	1	1	3	0	1
Visible Layout Begin	89	7	1	1	0	0	0
Visible Layout Complete	89	7	1	1	5	0	0
Event Dispatch Begin	90	0	1	1	8	4	0
State Mutation Complete	90	0	1	1	0	0	4
Event Dispatch Begin	91	0	1	1	1	4	0
State Mutation Complete	91	0	1	1	0	0	4
Event Dispatch Begin	92	0	1	1	8	4	0
State Mutation Complete	92	0	1	1	0	0	4
Event Dispatch Begin	93	0	1	1	1	4	0
State Mutation Complete	93	0	1	1	0	0	4
Event Dispatch Begin	94	0	1	1	8	4	0
State Mutation Complete	94	0	1	1	0	0	4
Event Dispatch Begin	95	0	1	1	1	4	0
State Mutation Complete	95	0	1	1	0	0	4
Event Dispatch Begin	96	0	1	1	8	4	0
State Mutation Complete	96	0	1	1	0	0	4
Event Dispatch Begin	97	0	1	1	1	4	0
State Mutation Complete	97	0	1	1	0	0	4
Event Dispatch Begin	98	0	1	1	8	4	0
State Mutation Complete	98	0	1	1	0	0	4
Atlas Publication Begin	99	8	2	2	79	0	0
Atlas Publication Complete	99	8	2	2	0	0	0
Event Dispatch Begin	99	0	1	1	5	4	0
Frame Build Begin	99	8	2	2	1148190720	1141309440	0
Frame Build Complete	99	8	2	2	85	79	0
Glyph Atlas Summary	99	8	2	2	88	0	70400
Layout Cache Summary	99	8	2	2	4	1	2816
Native Actual Presentation Latency	99	0	0	0	62497208	0	0
Native Display Link Target Latency	99	0	0	0	20830875	0	0
Native Event Handler Latency	99	0	0	0	138833	0	0
Native Frame Queue Latency	99	0	0	0	12571667	0	0
Native GPU Terminal Observed Latency	99	0	0	0	20931750	0	0
Native Presentation Callback Lag	99	0	0	0	290250	0	0
Native Presented Handler Latency	99	0	0	0	62787667	0	0
Native Submission Latency	99	0	0	0	167583	0	0
Native Target Presentation Latency	99	0	0	0	54164125	0	0
Native Terminal Record Latency	99	0	0	0	29349083	0	0
State Mutation Complete	99	0	2	2	1	1	5
Text Summary	99	8	2	2	3	0	1
Visible Layout Begin	99	8	2	2	0	0	0
Visible Layout Complete	99	8	2	2	5	0	0
Event Dispatch Begin	100	0	2	2	8	5	0
State Mutation Complete	100	0	2	2	0	0	5
